Portuguese,English,Notes
meu / minha,"my (singular)","masculine / feminine"
meus / minhas,"my (plural)","masculine / feminine"
nosso / nossa,"our (singular)","masculine / feminine"
nossos / nossas,"our (plural)","masculine / feminine"
teu / tua,"your (singular, informal)","masculine / feminine"
teus / tuas,"your (plural, informal)","masculine / feminine"
vosso / vossa,"your (plural, formal/archaic)","masculine / feminine"
vossos / vossas,"your (plural, formal/archaic)","masculine / feminine"
seu / sua,"his/her/your (formal)/their (singular)","masculine / feminine"
seus / suas,"his/her/your (formal)/their (plural)","masculine / feminine"
